Name,Kind,WD,Retail Price,Dealer Cost,EngineSize,Weight,Width
Ford Mustang 2dr (convertible),Sports Car,RWD,18345,16943,3.800000,3290,73
Hyundai Tiburon GT V6 2dr,Sports Car,,18739,17101,2.700000,3023,69
Toyota Celica GT-S 2dr,Sports Car,,22570,20363,1.800000,2500,68
Mazda MX-5 Miata convertible 2dr,Sports Car,RWD,22388,20701,1.800000,2387,66
Toyota MR2 Spyder convertible 2dr,Sports Car,RWD,25130,22787,1.800000,2195,67
Subaru Impreza WRX 4dr,Sports Car,AWD,25045,23022,2.000000,3085,69
Mazda MX-5 Miata LS convertible 2dr,Sports Car,RWD,25193,23285,1.800000,2387,66
Mitsubishi Eclipse GTS 2dr,Sports Car,,25092,23456,3.000000,3241,69
Nissan 350Z coupe 2dr,Sports Car,RWD,26910,25203,3.500000,3188,72
Mitsubishi Eclipse Spyder GT convertible 2dr,Sports Car,,26992,25218,3.000000,3296,69
Ford Mustang GT Premium convertible 2dr,Sports Car,RWD,29380,26875,4.600000,3347,73
Mitsubishi Lancer Evolution 4dr,Sports Car,,29562,27466,2.000000,3263,70
Subaru Impreza WRX STi 4dr,Sports Car,AWD,31545,29130,2.500000,3263,69
Honda S2000 convertible 2dr,Sports Car,RWD,33260,29965,2.200000,2835,69
Pontiac GTO 2dr,Sports Car,RWD,33500,30710,5.700000,3725,73
BMW Z4 convertible 2.5i 2dr,Sports Car,RWD,33895,31065,2.500000,2932,70
Nissan 350Z Enthusiast convertible 2dr,Sports Car,RWD,34390,31845,3.500000,3428,72
Chrysler Crossfire 2dr,Sports Car,RWD,34495,32033,3.200000,3060,70
Audi TT 1.8 convertible 2dr (coupe),Sports Car,,35940,32512,1.800000,3131,73
Audi TT 1.8 Quattro 2dr (convertible),Sports Car,AWD,37390,33891,1.800000,2921,73
Audi TT 3.2 coupe 2dr (convertible),Sports Car,AWD,40590,36739,3.200000,3351,73
Mercedes-Benz SLK230 convertible 2dr,Sports Car,RWD,40320,37548,2.300000,3055,68
BMW Z4 convertible 3.0i 2dr,Sports Car,RWD,41045,37575,3.000000,2998,70
Porsche Boxster convertible 2dr,Sports Car,RWD,43365,37886,2.700000,2811,70
Chevrolet Corvette 2dr,Sports Car,RWD,44535,39068,5.700000,3246,74
BMW M3 coupe 2dr,Sports Car,RWD,48195,44170,3.200000,3415,70
Chevrolet Corvette convertible 2dr,Sports Car,RWD,51535,45193,5.700000,3248,74
Porsche Boxster S convertible 2dr,Sports Car,RWD,52365,45766,3.200000,2911,70
BMW M3 convertible 2dr,Sports Car,RWD,56595,51815,3.200000,3781,70
Mercedes-Benz SLK32 AMG 2dr,Sports Car,RWD,56170,52289,3.200000,3220,68
Lexus SC 430 convertible 2dr,Sports Car,RWD,63200,55063,4.300000,3840,72
Jaguar XK8 coupe 2dr,Sports Car,RWD,69995,63756,4.200000,3779,71
Porsche 911 Targa coupe 2dr,Sports Car,RWD,76765,67128,3.600000,3119,70
Jaguar XK8 convertible 2dr,Sports Car,RWD,74995,68306,4.200000,3980,71
Porsche 911 Carrera convertible 2dr (coupe),Sports Car,RWD,79165,69229,3.600000,3135,70
Cadillac XLR convertible 2dr,Sports Car,RWD,76200,70546,4.600000,3647,72
Porsche 911 Carrera 4S coupe 2dr (convert),Sports Car,AWD,84165,72206,3.600000,3240,72
Jaguar XKR coupe 2dr,Sports Car,RWD,81995,74676,4.200000,3865,71
Audi RS 6 4dr,Sports Car,,84600,76417,4.200000,4024,78
Jaguar XKR convertible 2dr,Sports Car,RWD,86995,79226,4.200000,4042,71
Acura NSX coupe 2dr manual S,Sports Car,RWD,89765,79978,3.200000,3153,71
Mercedes-Benz SL500 convertible 2dr,Sports Car,RWD,90520,84325,5.000000,4065,72
Mercedes-Benz SL55 AMG 2dr,Sports Car,RWD,121770,113388,5.500000,4235,72
Mercedes-Benz SL600 convertible 2dr,Sports Car,RWD,126670,117854,5.500000,4429,72
Porsche 911 GT2 2dr,Sports Car,RWD,192465,173560,3.600000,3131,72
