Vehicle Name,CellDx,Sports Car,SUV,Wagon,Minivan,Pickup,AWD,RWD,Retail Price,Dealer Cost,EngineSize,Weight,Width
Acura 3.5 RL 4dr,1,0,0,0,0,0,0,0,43755,39014,3.5,3880,72
Acura 3.5 RL w/Navigation 4dr,1,0,0,0,0,0,0,0,46100,41100,3.5,3893,72
Acura MDX,0,0,1,0,0,0,1,0,36945,33337,3.5,4451,77
Acura NSX coupe 2dr manual S,0,1,0,0,0,0,0,1,89765,79978,3.2,3153,71
Acura RSX Type S 2dr,1,0,0,0,0,0,0,0,23820,21761,2,2778,68
Acura TL 4dr,1,0,0,0,0,0,0,0,33195,30299,3.2,3575,72
Acura TSX 4dr,1,0,0,0,0,0,0,0,26990,24647,2.4,3230,69
Audi A4 1.8T 4dr,1,0,0,0,0,0,0,0,25940,23508,1.8,3252,70
Audi A4 3.0 4dr,1,0,0,0,0,0,0,0,31840,28846,3,3462,70
Audi A4 3.0 convertible 2dr,1,0,0,0,0,0,0,0,42490,38325,3,3814,70
Audi A4 3.0 Quattro 4dr auto,1,0,0,0,0,0,1,0,34480,31388,3,3627,70
Audi A4 3.0 Quattro 4dr manual,1,0,0,0,0,0,1,0,33430,30366,3,3583,70
Audi A4 3.0 Quattro convertible 2dr,1,0,0,0,0,0,1,0,44240,40075,3,4013,70
Audi A41.8T convertible 2dr,1,0,0,0,0,0,0,0,35940,32506,1.8,3638,70
Audi A6 2.7 Turbo Quattro 4dr,1,0,0,0,0,0,1,0,42840,38840,2.7,3836,71
Audi A6 3.0 4dr,1,0,0,0,0,0,0,0,36640,33129,3,3561,71
Audi A6 3.0 Avant Quattro,0,0,0,1,0,0,1,0,40840,37060,3,4035,71
Audi A6 3.0 Quattro 4dr,1,0,0,0,0,0,1,0,39640,35992,3,3880,71
Audi A6 4.2 Quattro 4dr,1,0,0,0,0,0,1,0,49690,44936,4.2,4024,71
Audi A8 L Quattro 4dr,1,0,0,0,0,0,1,0,69190,64740,4.2,4399,75
Audi RS 6 4dr,0,1,0,0,0,0,0,0,84600,76417,4.2,4024,78
Audi S4 Avant Quattro,0,0,0,1,0,0,1,0,49090,44446,4.2,3936,70
Audi S4 Quattro 4dr,1,0,0,0,0,0,1,0,48040,43556,4.2,3825,70
Audi TT 1.8 convertible 2dr (coupe),0,1,0,0,0,0,0,0,35940,32512,1.8,3131,73
Audi TT 1.8 Quattro 2dr (convertible),0,1,0,0,0,0,1,0,37390,33891,1.8,2921,73
Audi TT 3.2 coupe 2dr (convertible),0,1,0,0,0,0,1,0,40590,36739,3.2,3351,73
BMW 325Ci 2dr,1,0,0,0,0,0,0,1,30795,28245,2.5,3197,69
BMW 325Ci convertible 2dr,1,0,0,0,0,0,0,1,37995,34800,2.5,3560,69
BMW 325i 4dr,1,0,0,0,0,0,0,1,28495,26155,2.5,3219,69
BMW 325xi 4dr,1,0,0,0,0,0,1,0,30245,27745,2.5,3461,69
BMW 325xi Sport,0,0,0,1,0,0,1,0,32845,30110,2.5,3594,69
BMW 330Ci 2dr,1,0,0,0,0,0,0,1,36995,33890,3,3285,69
BMW 330Ci convertible 2dr,1,0,0,0,0,0,0,1,44295,40530,3,3616,69
BMW 330i 4dr,1,0,0,0,0,0,0,1,35495,32525,3,3285,69
BMW 330xi 4dr,1,0,0,0,0,0,1,0,37245,34115,3,3483,69
BMW 525i 4dr,1,0,0,0,0,0,0,1,39995,36620,2.5,3428,73
BMW 530i 4dr,1,0,0,0,0,0,0,1,44995,41170,3,3472,73
BMW 545iA 4dr,1,0,0,0,0,0,0,1,54995,50270,4.4,3814,73
BMW 745i 4dr,1,0,0,0,0,0,0,1,69195,63190,4.4,4376,75
BMW 745Li 4dr,1,0,0,0,0,0,0,1,73195,66830,4.4,4464,75
BMW M3 convertible 2dr,0,1,0,0,0,0,0,1,56595,51815,3.2,3781,70
BMW M3 coupe 2dr,0,1,0,0,0,0,0,1,48195,44170,3.2,3415,70
BMW X3 3.0i,0,0,1,0,0,0,1,0,37000,33873,3,4023,73
BMW X5 4.4i,0,0,1,0,0,0,1,0,52195,47720,4.4,4824,74
BMW Z4 convertible 2.5i 2dr,0,1,0,0,0,0,0,1,33895,31065,2.5,2932,70
BMW Z4 convertible 3.0i 2dr,0,1,0,0,0,0,0,1,41045,37575,3,2998,70
Buick Century Custom 4dr,1,0,0,0,0,0,0,0,22180,20351,3.1,3353,73
Buick LeSabre Custom 4dr,1,0,0,0,0,0,0,0,26470,24282,3.8,3567,74
Buick LeSabre Limited 4dr,1,0,0,0,0,0,0,0,32245,29566,3.8,3591,74
Buick Park Avenue 4dr,1,0,0,0,0,0,0,0,35545,32244,3.8,3778,75
Buick Park Avenue Ultra 4dr,1,0,0,0,0,0,0,0,40720,36927,3.8,3909,75
Buick Rainier,0,0,1,0,0,0,1,0,37895,34357,4.2,4600,75
Buick Regal GS 4dr,1,0,0,0,0,0,0,0,28345,26047,3.8,3536,73
Buick Regal LS 4dr,1,0,0,0,0,0,0,0,24895,22835,3.8,3461,73
Buick Rendezvous CX,0,0,1,0,0,0,0,0,26545,24085,3.4,4024,74
Cadillac CTS VVT 4dr,1,0,0,0,0,0,0,1,30835,28575,3.6,3694,71
Cadillac Deville 4dr,1,0,0,0,0,0,0,0,45445,41650,4.6,3984,74
Cadillac Deville DTS 4dr,1,0,0,0,0,0,0,0,50595,46362,4.6,4044,74
Cadillac Escaladet,0,0,1,0,0,0,0,0,52795,48377,5.3,5367,79
Cadillac Seville SLS 4dr,1,0,0,0,0,0,0,0,47955,43841,4.6,3992,75
Cadillac SRX V8,0,0,1,0,0,0,0,0,46995,43523,4.6,4302,73
Cadillac XLR convertible 2dr,0,1,0,0,0,0,0,1,76200,70546,4.6,3647,72
Chevrolet Astro,0,0,0,0,1,0,1,0,26395,23954,4.3,4605,78
Chevrolet Aveo 4dr,1,0,0,0,0,0,0,0,11690,10965,1.6,2370,66
Chevrolet Aveo LS 4dr hatch,1,0,0,0,0,0,0,0,12585,11802,1.6,2348,66
Chevrolet Cavalier 2dr,1,0,0,0,0,0,0,0,14610,13697,2.2,2617,69
Chevrolet Cavalier 4dr,1,0,0,0,0,0,0,0,14810,13884,2.2,2676,68
Chevrolet Cavalier LS 2dr,1,0,0,0,0,0,0,0,16385,15357,2.2,2617,69
Chevrolet Corvette 2dr,0,1,0,0,0,0,0,1,44535,39068,5.7,3246,74
Chevrolet Corvette convertible 2dr,0,1,0,0,0,0,0,1,51535,45193,5.7,3248,74
Chevrolet Impala 4dr,1,0,0,0,0,0,0,0,21900,20095,3.4,3465,73
Chevrolet Impala LS 4dr,1,0,0,0,0,0,0,0,25000,22931,3.8,3476,73
Chevrolet Impala SS 4dr,1,0,0,0,0,0,0,0,27995,25672,3.8,3606,73
Chevrolet Malibu 4dr,1,0,0,0,0,0,0,0,18995,17434,2.2,3174,70
Chevrolet Malibu LS 4dr,1,0,0,0,0,0,0,0,20370,18639,3.5,3297,70
Chevrolet Malibu LT 4dr,1,0,0,0,0,0,0,0,23495,21551,3.5,3315,70
Chevrolet Malibu Maxx LS,0,0,0,1,0,0,0,0,22225,20394,3.5,3458,70
Chevrolet Monte Carlo LS 2dr,1,0,0,0,0,0,0,0,21825,20026,3.4,3340,73
Chevrolet Monte Carlo SS 2dr,1,0,0,0,0,0,0,0,24225,22222,3.8,3434,73
Chevrolet Suburban 1500 LT,0,0,1,0,0,0,0,0,42735,37422,5.3,4947,79
Chevrolet Tahoe LT,0,0,1,0,0,0,1,0,41465,36287,5.3,5050,79
Chevrolet Tracker,0,0,1,0,0,0,0,0,20255,19108,2.5,2866,67
Chevrolet TrailBlazer LT,0,0,1,0,0,0,0,0,30295,27479,4.2,4425,75
Chevrolet Venture LS,0,0,0,0,1,0,0,0,27020,24518,3.4,3699,72
Chrvsler PT Cruiser GT 4dr,1,0,0,0,0,0,0,0,25955,24172,2.4,3217,67
Chrysler 300M 4dr,1,0,0,0,0,0,0,0,29865,27797,3.5,3581,74
Chrysler 300M Special Edition 4dr,1,0,0,0,0,0,0,0,33295,30884,3.5,3650,74
Chrysler Concorde LX 4dr,1,0,0,0,0,0,0,0,24130,22452,2.7,3479,74
Chrysler Concorde LXi 4dr,1,0,0,0,0,0,0,0,26860,24909,3.5,3548,74
Chrysler Crossfire 2dr,0,1,0,0,0,0,0,1,34495,32033,3.2,3060,70
Chrysler Pacifica,0,0,0,1,0,0,0,1,31230,28725,3.5,4675,79
Chrysler PT Cruiser 4dr,1,0,0,0,0,0,0,0,17985,16919,2.4,3101,67
Chrysler PT Cruiser Limited 4dr,1,0,0,0,0,0,0,0,22000,20573,2.4,3105,67
Chrysler Sebring 4dr,1,0,0,0,0,0,0,0,19090,17805,2.4,3173,71
Chrysler Sebring convertible 2dr,1,0,0,0,0,0,0,0,25215,23451,2.4,3357,64
Chrysler Sebring Limited convertible 2dr,1,0,0,0,0,0,0,0,30950,28613,2.7,3448,69
Chrysler Sebring Touring 4dr,1,0,0,0,0,0,0,0,21840,20284,2.7,3222,71
Chrysler Town and Country Limited,0,0,0,0,1,0,0,0,38380,35063,3.8,4331,79
Chrysler Town and Country LX,0,0,0,0,1,0,0,0,27490,25371,3.3,4068,79
CMC Yukon 1500 SLE,0,0,1,0,0,0,0,0,35725,31361,4.8,5042,79
Dodge Caravan SE,0,0,0,0,1,0,0,0,21795,20508,2.4,3862,79
Dodge Durango SLT,0,0,1,0,0,0,1,0,32235,29472,4.7,4987,76
Dodge Grand Caravan SXT,0,0,0,0,1,0,1,0,32660,29812,3.8,4440,79
Dodge Intrepid ES 4dr,1,0,0,0,0,0,0,0,24885,23058,3.5,3487,75
Dodge Intrepid SE 4dr,1,0,0,0,0,0,0,0,22035,20502,2.7,3469,75
Dodge Neon SE 4dr,1,0,0,0,0,0,0,0,13670,12849,2,2581,67
Dodge Neon SXT 4dr,1,0,0,0,0,0,0,0,15040,14086,2,2626,67
Dodge Stratus SE 4dr,1,0,0,0,0,0,0,0,20220,18821,2.4,3175,71
Dodge Stratus SXT 4dr,1,0,0,0,0,0,0,0,18820,17512,2.4,3182,71
Ford Crown Victoria 4dr,1,0,0,0,0,0,0,1,24345,22856,4.6,4057,78
Ford Crown Victoria LX 4dr,1,0,0,0,0,0,0,1,27370,25105,4.6,4057,78
Ford Crown Victoria LX Sport 4dr,1,0,0,0,0,0,0,1,30315,27756,4.6,4057,78
Ford Escape XLS,0,0,1,0,0,0,1,0,22515,20907,3,3346,70
Ford Expedition 4.6 XLT,0,0,1,0,0,0,0,0,34560,30468,4.6,5000,79
Ford Explorer XLT V6,0,0,1,0,0,0,1,0,29670,26983,4,4463,72
Ford Focus LX 4dr,1,0,0,0,0,0,0,0,13730,12906,2,2606,67
Ford Focus SE 4dr,1,0,0,0,0,0,0,0,15460,14496,2,2606,67
Ford Focus SVT 2dr,1,0,0,0,0,0,0,0,19135,17878,2,2750,67
Ford Focus ZTW,0,0,0,1,0,0,0,0,17475,16375,2,2702,67
Ford Focus ZX3 2dr hatch,1,0,0,0,0,0,0,0,13270,12482,2,2612,67
Ford Focus ZX5 5dr,1,0,0,0,0,0,0,0,15580,14607,2,2691,67
Ford Freestar SE,0,0,0,0,1,0,0,0,26930,24498,3.9,4275,77
Ford Mustang 2dr (convertible),0,1,0,0,0,0,0,1,18345,16943,3.8,3290,73
Ford Mustang GT Premium convertible 2dr,0,1,0,0,0,0,0,1,29380,26875,4.6,3347,73
